Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
5ee8a,5ee8a_session2_lista_speeded_trial001_donkey.wav,2,a,peeded,1,donkey,728,correct,NA,Apr 28 2023 11:55:52,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial002_coat.wav,2,a,peeded,2,coat,663,correct,NA,Apr 28 2023 11:56:00,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial003_rose.wav,2,a,peeded,3,rose,620,correct,NA,Apr 28 2023 11:56:05,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial004_butter.wav,2,a,peeded,4,butter,746,correct,NA,Apr 28 2023 11:56:11,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial005_rocket.wav,2,a,peeded,5,rocket,658,correct,NA,Apr 28 2023 11:56:17,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial006_pepper.wav,2,a,peeded,6,pepper,649,correct,NA,Apr 28 2023 11:56:25,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial007_bus.wav,2,a,peeded,7,bus,638,correct,NA,Apr 28 2023 11:56:30,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial008_sword.wav,2,a,peeded,8,sword,616,correct,NA,Apr 28 2023 11:56:38,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial009_shower.wav,2,a,peeded,9,shower,668,correct,NA,Apr 28 2023 11:56:45,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial010_owl.wav,2,a,peeded,10,owl,618,correct,NA,Apr 28 2023 11:56:55,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial011_bike.wav,2,a,peeded,11,bike,630,correct,NA,Apr 28 2023 11:57:01,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial012_tiger.wav,2,a,peeded,12,tiger,630,correct,NA,Apr 28 2023 11:57:07,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial013_pineapple.wav,2,a,peeded,13,pineapple,810,correct,NA,Apr 28 2023 11:57:12,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial014_wave.wav,2,a,peeded,14,wave,721,uncertain,"waves",Apr 28 2023 11:58:13,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial015_dice.wav,2,a,peeded,15,dice,723,correct,NA,Apr 28 2023 11:58:16,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial016_lighter.wav,2,a,peeded,16,lighter,762,correct,NA,Apr 28 2023 11:58:19,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial017_sun.wav,2,a,peeded,17,sun,575,correct,NA,Apr 28 2023 11:58:22,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial018_train.wav,2,a,peeded,18,train,618,correct,NA,Apr 28 2023 11:58:27,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial019_bone.wav,2,a,peeded,19,bone,656,correct,NA,Apr 28 2023 11:58:33,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial020_island.wav,2,a,peeded,20,island,719,correct,NA,Apr 28 2023 11:58:38,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial021_squirrel.wav,2,a,peeded,21,squirrel,551,correct,NA,Apr 28 2023 11:58:43,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial022_boxer.wav,2,a,peeded,22,boxer,688,correct,NA,Apr 28 2023 11:58:49,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial023_heel.wav,2,a,peeded,23,heel,-1,disfluency,NA,Apr 28 2023 11:58:55,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial024_queen.wav,2,a,peeded,24,queen,638,correct,NA,Apr 28 2023 11:59:00,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial025_elbow.wav,2,a,peeded,25,elbow,656,correct,NA,Apr 28 2023 11:59:07,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial026_bench.wav,2,a,peeded,26,bench,629,correct,NA,Apr 28 2023 11:59:14,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial027_tray.wav,2,a,peeded,27,tray,632,correct,NA,Apr 28 2023 11:59:19,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial028_sausage.wav,2,a,peeded,28,sausage,600,correct,NA,Apr 28 2023 11:59:25,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial029_tap.wav,2,a,peeded,29,tap,697,correct,NA,Apr 28 2023 11:59:31,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial030_ruler.wav,2,a,peeded,30,ruler,640,correct,NA,Apr 28 2023 11:59:37,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial031_teacher.wav,2,a,peeded,31,teacher,1004,correct,NA,Apr 28 2023 11:59:42,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial032_bottle.wav,2,a,peeded,32,bottle,665,correct,NA,Apr 28 2023 11:59:53,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial033_goat.wav,2,a,peeded,33,goat,818,correct,NA,Apr 28 2023 11:59:57,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial034_mountain.wav,2,a,peeded,34,mountain,695,correct,NA,Apr 28 2023 12:00:03,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial035_circle.wav,2,a,peeded,35,circle,-1,no_resp,NA,Apr 28 2023 12:00:10,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial036_kite.wav,2,a,peeded,36,kite,815,correct,NA,Apr 28 2023 12:00:21,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial037_flower.wav,2,a,peeded,37,flower,612,correct,NA,Apr 28 2023 12:00:30,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial038_hippo.wav,2,a,peeded,38,hippo,632,correct,NA,Apr 28 2023 12:00:41,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial039_arm.wav,2,a,peeded,39,arm,703,correct,NA,Apr 28 2023 12:00:53,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial040_basket.wav,2,a,peeded,40,basket,661,correct,NA,Apr 28 2023 12:00:59,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial041_computer.wav,2,a,peeded,41,computer,-1,wrong_word,NA,Apr 28 2023 12:01:05,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial042_clown.wav,2,a,peeded,42,clown,746,correct,NA,Apr 28 2023 12:01:18,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial043_gym.wav,2,a,peeded,43,gym,957,correct,NA,Apr 28 2023 12:01:26,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial044_shield.wav,2,a,peeded,44,shield,663,correct,NA,Apr 28 2023 12:01:31,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial045_kangaroo.wav,2,a,peeded,45,kangaroo,730,correct,NA,Apr 28 2023 12:01:38,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial046_comb.wav,2,a,peeded,46,comb,623,correct,NA,Apr 28 2023 12:01:43,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial047_curtain.wav,2,a,peeded,47,curtain,667,correct,NA,Apr 28 2023 12:01:48,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial048_potato.wav,2,a,peeded,48,potato,620,correct,NA,Apr 28 2023 12:01:56,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial049_shoe.wav,2,a,peeded,49,shoe,605,correct,NA,Apr 28 2023 12:02:02,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial050_scissors.wav,2,a,peeded,50,scissors,551,correct,NA,Apr 28 2023 12:02:07,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial051_zebra.wav,2,a,peeded,51,zebra,638,correct,NA,Apr 28 2023 12:02:12,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial052_hat.wav,2,a,peeded,52,hat,553,correct,NA,Apr 28 2023 12:02:18,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial053_puppet.wav,2,a,peeded,53,puppet,795,correct,NA,Apr 28 2023 12:02:24,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial054_pear.wav,2,a,peeded,54,pear,706,correct,NA,Apr 28 2023 12:02:30,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial055_net.wav,2,a,peeded,55,net,672,correct,NA,Apr 28 2023 12:02:37,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial056_key.wav,2,a,peeded,56,key,668,correct,NA,Apr 28 2023 12:02:48,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial057_fireplace.wav,2,a,peeded,57,fireplace,652,correct,NA,Apr 28 2023 12:02:54,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial058_flipper.wav,2,a,peeded,58,flipper,968,correct,NA,Apr 28 2023 12:03:02,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial059_butterfly.wav,2,a,peeded,59,butterfly,717,correct,NA,Apr 28 2023 12:03:09,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial060_fork.wav,2,a,peeded,60,fork,602,correct,NA,Apr 28 2023 12:03:28,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial061_ear.wav,2,a,peeded,61,ear,598,correct,NA,Apr 28 2023 12:03:41,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial062_castle.wav,2,a,peeded,62,castle,649,correct,NA,Apr 28 2023 12:03:47,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial063_mermaid.wav,2,a,peeded,63,mermaid,692,correct,NA,Apr 28 2023 12:03:52,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial064_cork.wav,2,a,peeded,64,cork,824,correct,NA,Apr 28 2023 12:03:57,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial065_book.wav,2,a,peeded,65,book,683,correct,NA,Apr 28 2023 12:04:03,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial066_windmill.wav,2,a,peeded,66,windmill,937,correct,NA,Apr 28 2023 12:04:08,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial067_jellyfish.wav,2,a,peeded,67,jellyfish,-1,disfluency,NA,Apr 28 2023 12:04:16,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial068_orange.wav,2,a,peeded,68,orange,-1,wrong_word,NA,Apr 28 2023 12:04:20,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial069_whale.wav,2,a,peeded,69,whale,706,correct,NA,Apr 28 2023 12:04:25,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial070_map.wav,2,a,peeded,70,map,728,correct,NA,Apr 28 2023 12:04:29,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial071_caterpillar.wav,2,a,peeded,71,caterpillar,726,correct,NA,Apr 28 2023 12:04:39,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial072_soap.wav,2,a,peeded,72,soap,699,correct,NA,Apr 28 2023 12:04:44,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial073_submarine.wav,2,a,peeded,73,submarine,952,correct,NA,Apr 28 2023 12:04:49,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial074_kitchen.wav,2,a,peeded,74,kitchen,784,correct,NA,Apr 28 2023 12:04:55,Agnieszka,1
5ee8a,5ee8a_session2_lista_speeded_trial075_wall.wav,2,a,peeded,75,wall,697,correct,NA,Apr 28 2023 12:05:04,Agnieszka,1
