Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
5f31a,5f31a_session2_listb_naming_trial001_house.wav,2,b,naming,1,house,949,correct,NA,Apr 26 2023 12:01:52,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial002_bat.wav,2,b,naming,2,bat,748,correct,NA,Apr 26 2023 12:02:03,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial003_harp.wav,2,b,naming,3,harp,727,correct,NA,Apr 26 2023 12:02:12,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial004_dragon.wav,2,b,naming,4,dragon,813,correct,NA,Apr 26 2023 12:02:29,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial005_egg.wav,2,b,naming,5,egg,918,correct,NA,Apr 26 2023 12:02:37,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial006_king.wav,2,b,naming,6,king,874,correct,NA,Apr 26 2023 12:02:53,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial007_bra.wav,2,b,naming,7,bra,823,correct,NA,Apr 26 2023 12:03:06,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial008_waiter.wav,2,b,naming,8,waiter,929,correct,NA,Apr 26 2023 12:03:20,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial009_handle.wav,2,b,naming,9,handle,-1,disfluency,NA,Apr 26 2023 12:03:28,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial010_ankle.wav,2,b,naming,10,ankle,1054,correct,NA,Apr 26 2023 12:03:37,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial011_dolphin.wav,2,b,naming,11,dolphin,901,correct,NA,Apr 26 2023 12:04:12,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial012_spider.wav,2,b,naming,12,spider,717,correct,NA,Apr 26 2023 12:04:24,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial013_mirror.wav,2,b,naming,13,mirror,734,correct,NA,Apr 26 2023 12:04:31,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial014_pilot.wav,2,b,naming,14,pilot,956,correct,NA,Apr 26 2023 12:04:40,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial015_coffin.wav,2,b,naming,15,coffin,799,correct,NA,Apr 26 2023 12:04:52,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial016_sheep.wav,2,b,naming,16,sheep,670,correct,NA,Apr 26 2023 12:04:59,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial017_feather.wav,2,b,naming,17,feather,748,correct,NA,Apr 26 2023 12:05:06,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial018_spoon.wav,2,b,naming,18,spoon,632,correct,NA,Apr 26 2023 12:13:39,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial019_lab.wav,2,b,naming,19,lab,-1,wrong_word,NA,Apr 26 2023 12:13:46,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial020_cone.wav,2,b,naming,20,cone,1048,correct,NA,Apr 26 2023 12:13:54,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial021_desert.wav,2,b,naming,21,desert,918,correct,NA,Apr 26 2023 12:14:03,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial022_hand.wav,2,b,naming,22,hand,799,correct,NA,Apr 26 2023 12:14:10,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial023_door.wav,2,b,naming,23,door,789,correct,NA,Apr 26 2023 12:14:16,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial024_ambulance.wav,2,b,naming,24,ambulance,833,correct,NA,Apr 26 2023 12:14:23,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial025_cowboy.wav,2,b,naming,25,cowboy,1457,correct,NA,Apr 26 2023 12:14:31,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial026_man.wav,2,b,naming,26,man,1072,correct,NA,Apr 26 2023 12:14:38,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial027_beard.wav,2,b,naming,27,beard,925,correct,NA,Apr 26 2023 12:14:45,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial028_pool.wav,2,b,naming,28,pool,874,correct,NA,Apr 26 2023 12:14:51,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial029_airport.wav,2,b,naming,29,airport,932,correct,NA,Apr 26 2023 12:14:57,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial030_finger.wav,2,b,naming,30,finger,680,correct,NA,Apr 26 2023 12:15:05,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial031_road.wav,2,b,naming,31,road,857,correct,NA,Apr 26 2023 12:15:12,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial032_foot.wav,2,b,naming,32,foot,-1,disfluency,NA,Apr 26 2023 12:15:17,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial033_telephone.wav,2,b,naming,33,telephone,802,correct,NA,Apr 26 2023 12:15:25,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial034_scarecrow.wav,2,b,naming,34,scarecrow,738,correct,NA,Apr 26 2023 12:15:32,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial035_dentist.wav,2,b,naming,35,dentist,-1,wrong_word,NA,Apr 26 2023 12:15:36,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial036_shark.wav,2,b,naming,36,shark,837,correct,NA,Apr 26 2023 12:15:45,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial037_eye.wav,2,b,naming,37,eye,826,correct,NA,Apr 26 2023 12:15:51,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial038_cactus.wav,2,b,naming,38,cactus,837,correct,NA,Apr 26 2023 12:16:01,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial039_ring.wav,2,b,naming,39,ring,806,correct,NA,Apr 26 2023 12:16:11,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial040_fan.wav,2,b,naming,40,fan,782,correct,NA,Apr 26 2023 12:16:18,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial041_iron.wav,2,b,naming,41,iron,894,correct,NA,Apr 26 2023 12:16:25,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial042_sock.wav,2,b,naming,42,sock,751,correct,NA,Apr 26 2023 12:16:32,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial043_caravan.wav,2,b,naming,43,caravan,1007,correct,NA,Apr 26 2023 12:16:39,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial044_apron.wav,2,b,naming,44,apron,976,correct,NA,Apr 26 2023 12:16:49,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial045_parachute.wav,2,b,naming,45,parachute,-1,wrong_word,NA,Apr 26 2023 12:16:54,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial046_coffee.wav,2,b,naming,46,coffee,-1,uncertain,starts with previous word,Apr 26 2023 12:17:04,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial047_balloon.wav,2,b,naming,47,balloon,850,correct,NA,Apr 26 2023 12:17:12,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial048_glasses.wav,2,b,naming,48,glasses,762,correct,NA,Apr 26 2023 12:17:27,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial049_swimming.wav,2,b,naming,49,swimming,-1,wrong_word,NA,Apr 26 2023 12:17:32,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial050_elephant.wav,2,b,naming,50,elephant,1099,correct,NA,Apr 26 2023 12:17:40,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial051_maze.wav,2,b,naming,51,maze,820,correct,NA,Apr 26 2023 12:17:51,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial052_vein.wav,2,b,naming,52,vein,894,correct,NA,Apr 26 2023 12:17:58,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial053_broccoli.wav,2,b,naming,53,broccoli,847,correct,NA,Apr 26 2023 12:18:06,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial054_belt.wav,2,b,naming,54,belt,935,correct,NA,Apr 26 2023 12:18:16,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial055_brain.wav,2,b,naming,55,brain,830,correct,NA,Apr 26 2023 12:18:22,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial056_football.wav,2,b,naming,56,football,697,correct,NA,Apr 26 2023 12:18:30,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial057_tooth.wav,2,b,naming,57,tooth,915,correct,NA,Apr 26 2023 12:18:38,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial058_sink.wav,2,b,naming,58,sink,768,correct,NA,Apr 26 2023 12:18:46,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial059_keyboard.wav,2,b,naming,59,keyboard,830,correct,NA,Apr 26 2023 12:18:58,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial060_snail.wav,2,b,naming,60,snail,659,correct,NA,Apr 26 2023 12:19:07,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial061_shadow.wav,2,b,naming,61,shadow,1004,correct,NA,Apr 26 2023 12:19:16,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial062_hedgehog.wav,2,b,naming,62,hedgehog,731,correct,NA,Apr 26 2023 12:19:22,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial063_chain.wav,2,b,naming,63,chain,993,correct,NA,Apr 26 2023 12:19:29,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial064_torch.wav,2,b,naming,64,torch,908,correct,NA,Apr 26 2023 12:19:40,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial065_trumpet.wav,2,b,naming,65,trumpet,1508,correct,NA,Apr 26 2023 12:19:52,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial066_bible.wav,2,b,naming,66,bible,843,correct,NA,Apr 26 2023 12:19:59,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial067_jar.wav,2,b,naming,67,jar,813,correct,NA,Apr 26 2023 12:20:07,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial068_glass.wav,2,b,naming,68,glass,826,correct,NA,Apr 26 2023 12:20:17,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial069_baby.wav,2,b,naming,69,baby,714,correct,NA,Apr 26 2023 12:20:26,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial070_volcano.wav,2,b,naming,70,volcano,901,correct,NA,Apr 26 2023 12:20:37,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial071_camera.wav,2,b,naming,71,camera,755,correct,NA,Apr 26 2023 12:20:50,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial072_thermometer.wav,2,b,naming,72,thermometer,854,correct,NA,Apr 26 2023 12:21:02,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial073_burger.wav,2,b,naming,73,burger,813,correct,NA,Apr 26 2023 12:21:10,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial074_screwdriver.wav,2,b,naming,74,screwdriver,830,correct,NA,Apr 26 2023 12:21:23,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial075_strawberry.wav,2,b,naming,75,strawberry,673,correct,NA,Apr 26 2023 12:21:31,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial076_butcher.wav,2,b,naming,76,butcher,1355,correct,NA,Apr 26 2023 12:21:38,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial077_condom.wav,2,b,naming,77,condom,1245,correct,NA,Apr 26 2023 12:21:44,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial078_calculator.wav,2,b,naming,78,calculator,850,correct,NA,Apr 26 2023 12:21:56,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial079_diamond.wav,2,b,naming,79,diamond,966,correct,NA,Apr 26 2023 12:22:03,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial080_fist.wav,2,b,naming,80,fist,796,correct,NA,Apr 26 2023 12:22:14,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial081_dinosaur.wav,2,b,naming,81,dinosaur,1511,correct,NA,Apr 26 2023 12:22:23,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial082_pumpkin.wav,2,b,naming,82,pumpkin,768,correct,NA,Apr 26 2023 12:22:32,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial083_roof.wav,2,b,naming,83,roof,-1,wrong_word,NA,Apr 26 2023 12:22:38,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial084_stapler.wav,2,b,naming,84,stapler,789,correct,NA,Apr 26 2023 12:22:48,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial085_well.wav,2,b,naming,85,well,816,correct,NA,Apr 26 2023 12:22:55,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial086_cannon.wav,2,b,naming,86,cannon,1064,correct,NA,Apr 26 2023 12:23:02,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial087_bin.wav,2,b,naming,87,bin,823,correct,NA,Apr 26 2023 12:23:08,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial088_cage.wav,2,b,naming,88,cage,820,correct,NA,Apr 26 2023 12:23:15,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial089_shirt.wav,2,b,naming,89,shirt,905,correct,NA,Apr 26 2023 12:23:22,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial090_cloud.wav,2,b,naming,90,cloud,1259,correct,NA,Apr 26 2023 12:23:28,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial091_dog.wav,2,b,naming,91,dog,987,correct,NA,Apr 26 2023 12:23:36,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial092_lemon.wav,2,b,naming,92,lemon,820,correct,NA,Apr 26 2023 12:23:46,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial093_nun.wav,2,b,naming,93,nun,785,correct,NA,Apr 26 2023 12:23:55,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial094_wallet.wav,2,b,naming,94,wallet,925,correct,NA,Apr 26 2023 12:24:02,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial095_parrot.wav,2,b,naming,95,parrot,891,correct,NA,Apr 26 2023 12:24:09,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial096_face.wav,2,b,naming,96,face,1078,correct,NA,Apr 26 2023 12:24:15,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial097_car.wav,2,b,naming,97,car,820,correct,NA,Apr 26 2023 12:24:23,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial098_farm.wav,2,b,naming,98,farm,1194,correct,NA,Apr 26 2023 12:24:35,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial099_pirate.wav,2,b,naming,99,pirate,939,correct,NA,Apr 26 2023 12:24:44,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial100_penguin.wav,2,b,naming,100,penguin,670,correct,NA,Apr 26 2023 12:24:52,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial101_tank.wav,2,b,naming,101,tank,816,correct,NA,Apr 26 2023 12:24:59,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial102_umbrella.wav,2,b,naming,102,umbrella,816,correct,NA,Apr 26 2023 12:25:06,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial103_asparagus.wav,2,b,naming,103,asparagus,935,correct,NA,Apr 26 2023 12:25:14,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial104_coconut.wav,2,b,naming,104,coconut,843,correct,NA,Apr 26 2023 12:25:25,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial105_boomerang.wav,2,b,naming,105,boomerang,990,correct,NA,Apr 26 2023 12:25:32,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial106_greenhouse.wav,2,b,naming,106,greenhouse,959,correct,NA,Apr 26 2023 12:25:40,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial107_duck.wav,2,b,naming,107,duck,1099,correct,NA,Apr 26 2023 12:25:47,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial108_guitar.wav,2,b,naming,108,guitar,690,correct,NA,Apr 26 2023 12:25:54,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial109_banana.wav,2,b,naming,109,banana,721,correct,NA,Apr 26 2023 12:26:02,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial110_scarf.wav,2,b,naming,110,scarf,854,correct,NA,Apr 26 2023 12:26:12,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial111_earring.wav,2,b,naming,111,earring,966,correct,NA,Apr 26 2023 12:26:19,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial112_broom.wav,2,b,naming,112,broom,891,correct,NA,Apr 26 2023 12:26:27,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial113_devil.wav,2,b,naming,113,devil,860,correct,NA,Apr 26 2023 12:26:34,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial114_fire.wav,2,b,naming,114,fire,779,correct,NA,Apr 26 2023 12:26:41,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial115_honey.wav,2,b,naming,115,honey,908,correct,NA,Apr 26 2023 12:26:52,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial116_nurse.wav,2,b,naming,116,nurse,1290,correct,NA,Apr 26 2023 12:27:03,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial117_television.wav,2,b,naming,117,television,-1,wrong_word,NA,Apr 26 2023 12:27:09,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial118_needle.wav,2,b,naming,118,needle,1092,correct,NA,Apr 26 2023 12:27:17,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial119_gun.wav,2,b,naming,119,gun,796,correct,NA,Apr 26 2023 12:27:28,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial120_bedroom.wav,2,b,naming,120,bedroom,1130,correct,NA,Apr 26 2023 12:27:35,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial121_leaf.wav,2,b,naming,121,leaf,796,correct,NA,Apr 26 2023 12:27:43,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial122_choir.wav,2,b,naming,122,choir,1160,correct,NA,Apr 26 2023 12:27:51,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial123_cigarette.wav,2,b,naming,123,cigarette,874,correct,NA,Apr 26 2023 12:27:58,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial124_chair.wav,2,b,naming,124,chair,990,correct,NA,Apr 26 2023 12:28:05,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial125_microphone.wav,2,b,naming,125,microphone,809,correct,NA,Apr 26 2023 12:28:12,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial126_bed.wav,2,b,naming,126,bed,751,correct,NA,Apr 26 2023 12:28:22,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial127_hair.wav,2,b,naming,127,hair,727,correct,NA,Apr 26 2023 12:28:34,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial128_scorpion.wav,2,b,naming,128,scorpion,765,correct,NA,Apr 26 2023 12:28:40,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial129_printer.wav,2,b,naming,129,printer,1099,correct,NA,Apr 26 2023 12:28:48,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial130_crown.wav,2,b,naming,130,crown,768,correct,NA,Apr 26 2023 12:28:57,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial131_girl.wav,2,b,naming,131,girl,857,correct,NA,Apr 26 2023 12:29:05,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial132_skull.wav,2,b,naming,132,skull,687,correct,NA,Apr 26 2023 12:29:12,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial133_mask.wav,2,b,naming,133,mask,843,correct,NA,Apr 26 2023 12:29:19,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial134_fruit.wav,2,b,naming,134,fruit,894,correct,NA,Apr 26 2023 12:29:25,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial135_lion.wav,2,b,naming,135,lion,816,correct,NA,Apr 26 2023 12:29:32,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial136_calendar.wav,2,b,naming,136,calendar,983,correct,NA,Apr 26 2023 12:29:39,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial137_skateboard.wav,2,b,naming,137,skateboard,888,correct,NA,Apr 26 2023 12:29:47,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial138_back.wav,2,b,naming,138,back,884,correct,NA,Apr 26 2023 12:29:54,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial139_nose.wav,2,b,naming,139,nose,690,correct,NA,Apr 26 2023 12:30:01,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial140_moustache.wav,2,b,naming,140,moustache,782,correct,NA,Apr 26 2023 12:30:08,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial141_watch.wav,2,b,naming,141,watch,864,correct,NA,Apr 26 2023 12:30:16,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial142_frog.wav,2,b,naming,142,frog,625,correct,NA,Apr 26 2023 12:30:23,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial143_skeleton.wav,2,b,naming,143,skeleton,1017,correct,NA,Apr 26 2023 12:30:30,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial144_witch.wav,2,b,naming,144,witch,1007,correct,NA,Apr 26 2023 12:30:36,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial145_knee.wav,2,b,naming,145,knee,1392,correct,NA,Apr 26 2023 12:30:42,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial146_giraffe.wav,2,b,naming,146,giraffe,910,correct,NA,Apr 26 2023 12:30:48,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial147_lizard.wav,2,b,naming,147,lizard,884,correct,NA,Apr 26 2023 12:30:55,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial148_pizza.wav,2,b,naming,148,pizza,785,correct,NA,Apr 26 2023 12:31:03,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial149_button.wav,2,b,naming,149,button,867,correct,NA,Apr 26 2023 12:31:09,Agnieszka,1
5f31a,5f31a_session2_listb_naming_trial150_heart.wav,2,b,naming,150,heart,908,correct,NA,Apr 26 2023 12:31:15,Agnieszka,1
