Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
60217,60217_session2_listb_naming_trial001_torch.wav,2,b,naming,1,torch,848,correct,NA,Apr 19 2023 08:19:22,Agnieszka,1
60217,60217_session2_listb_naming_trial002_thermometer.wav,2,b,naming,2,thermometer,731,correct,NA,Apr 19 2023 08:19:32,Agnieszka,1
60217,60217_session2_listb_naming_trial003_telephone.wav,2,b,naming,3,telephone,756,correct,NA,Apr 19 2023 08:19:51,Agnieszka,1
60217,60217_session2_listb_naming_trial004_girl.wav,2,b,naming,4,girl,928,correct,NA,Apr 19 2023 08:19:57,Agnieszka,1
60217,60217_session2_listb_naming_trial005_scorpion.wav,2,b,naming,5,scorpion,718,correct,NA,Apr 19 2023 08:20:05,Agnieszka,1
60217,60217_session2_listb_naming_trial006_well.wav,2,b,naming,6,well,759,correct,NA,Apr 19 2023 08:20:14,Agnieszka,1
60217,60217_session2_listb_naming_trial007_nose.wav,2,b,naming,7,nose,676,correct,NA,Apr 19 2023 08:20:22,Agnieszka,1
60217,60217_session2_listb_naming_trial008_wallet.wav,2,b,naming,8,wallet,756,correct,NA,Apr 19 2023 08:20:29,Agnieszka,1
60217,60217_session2_listb_naming_trial009_fire.wav,2,b,naming,9,fire,734,correct,NA,Apr 19 2023 08:20:51,Agnieszka,1
60217,60217_session2_listb_naming_trial010_apron.wav,2,b,naming,10,apron,842,correct,NA,Apr 19 2023 08:20:59,Agnieszka,1
60217,60217_session2_listb_naming_trial011_choir.wav,2,b,naming,11,choir,989,correct,NA,Apr 19 2023 08:21:08,Agnieszka,1
60217,60217_session2_listb_naming_trial012_duck.wav,2,b,naming,12,duck,753,correct,NA,Apr 19 2023 08:21:20,Agnieszka,1
60217,60217_session2_listb_naming_trial013_cowboy.wav,2,b,naming,13,cowboy,775,correct,NA,Apr 19 2023 08:21:34,Agnieszka,1
60217,60217_session2_listb_naming_trial014_printer.wav,2,b,naming,14,printer,992,correct,NA,Apr 19 2023 08:21:46,Agnieszka,1
60217,60217_session2_listb_naming_trial015_penguin.wav,2,b,naming,15,penguin,696,correct,NA,Apr 19 2023 08:22:14,Agnieszka,1
60217,60217_session2_listb_naming_trial016_lab.wav,2,b,naming,16,lab,976,correct,NA,Apr 19 2023 08:22:26,Agnieszka,1
60217,60217_session2_listb_naming_trial017_crown.wav,2,b,naming,17,crown,747,correct,NA,Apr 19 2023 08:22:36,Agnieszka,1
60217,60217_session2_listb_naming_trial018_fruit.wav,2,b,naming,18,fruit,820,correct,NA,Apr 19 2023 08:22:43,Agnieszka,1
60217,60217_session2_listb_naming_trial019_banana.wav,2,b,naming,19,banana,661,correct,NA,Apr 19 2023 08:22:58,Agnieszka,1
60217,60217_session2_listb_naming_trial020_roof.wav,2,b,naming,20,roof,1024,correct,NA,Apr 19 2023 08:23:06,Agnieszka,1
60217,60217_session2_listb_naming_trial021_pizza.wav,2,b,naming,21,pizza,794,correct,NA,Apr 19 2023 08:23:22,Agnieszka,1
60217,60217_session2_listb_naming_trial022_mask.wav,2,b,naming,22,mask,817,correct,NA,Apr 19 2023 08:23:29,Agnieszka,1
60217,60217_session2_listb_naming_trial023_jar.wav,2,b,naming,23,jar,724,correct,NA,Apr 19 2023 08:23:39,Agnieszka,1
60217,60217_session2_listb_naming_trial024_trumpet.wav,2,b,naming,24,trumpet,801,correct,NA,Apr 19 2023 08:23:49,Agnieszka,1
60217,60217_session2_listb_naming_trial025_airport.wav,2,b,naming,25,airport,1348,correct,NA,Apr 19 2023 08:23:58,Agnieszka,1
60217,60217_session2_listb_naming_trial026_coffee.wav,2,b,naming,26,coffee,877,correct,NA,Apr 19 2023 08:24:06,Agnieszka,1
60217,60217_session2_listb_naming_trial027_skateboard.wav,2,b,naming,27,skateboard,836,correct,NA,Apr 19 2023 08:24:12,Agnieszka,1
60217,60217_session2_listb_naming_trial028_beard.wav,2,b,naming,28,beard,855,correct,NA,Apr 19 2023 08:24:20,Agnieszka,1
60217,60217_session2_listb_naming_trial029_cone.wav,2,b,naming,29,cone,785,correct,NA,Apr 19 2023 08:24:28,Agnieszka,1
60217,60217_session2_listb_naming_trial030_scarecrow.wav,2,b,naming,30,scarecrow,737,correct,NA,Apr 19 2023 08:24:36,Agnieszka,1
60217,60217_session2_listb_naming_trial031_iron.wav,2,b,naming,31,iron,1071,correct,NA,Apr 19 2023 08:24:53,Agnieszka,1
60217,60217_session2_listb_naming_trial032_lemon.wav,2,b,naming,32,lemon,842,correct,NA,Apr 19 2023 08:25:03,Agnieszka,1
60217,60217_session2_listb_naming_trial033_shadow.wav,2,b,naming,33,shadow,899,correct,NA,Apr 19 2023 08:25:24,Agnieszka,1
60217,60217_session2_listb_naming_trial034_road.wav,2,b,naming,34,road,868,correct,NA,Apr 19 2023 08:25:35,Agnieszka,1
60217,60217_session2_listb_naming_trial035_finger.wav,2,b,naming,35,finger,743,correct,NA,Apr 19 2023 08:25:48,Agnieszka,1
60217,60217_session2_listb_naming_trial036_chain.wav,2,b,naming,36,chain,775,correct,NA,Apr 19 2023 08:25:57,Agnieszka,1
60217,60217_session2_listb_naming_trial037_farm.wav,2,b,naming,37,farm,1798,correct,NA,Apr 19 2023 08:26:05,Agnieszka,1
60217,60217_session2_listb_naming_trial038_parachute.wav,2,b,naming,38,parachute,922,correct,NA,Apr 19 2023 08:26:13,Agnieszka,1
60217,60217_session2_listb_naming_trial039_gun.wav,2,b,naming,39,gun,842,correct,NA,Apr 19 2023 08:26:24,Agnieszka,1
60217,60217_session2_listb_naming_trial040_giraffe.wav,2,b,naming,40,giraffe,775,correct,NA,Apr 19 2023 08:26:32,Agnieszka,1
60217,60217_session2_listb_naming_trial041_pool.wav,2,b,naming,41,pool,-1,wrong_word,NA,Apr 19 2023 08:26:38,Agnieszka,1
60217,60217_session2_listb_naming_trial042_hair.wav,2,b,naming,42,hair,1036,correct,NA,Apr 19 2023 08:26:46,Agnieszka,1
60217,60217_session2_listb_naming_trial043_dolphin.wav,2,b,naming,43,dolphin,1059,correct,NA,Apr 19 2023 08:27:18,Agnieszka,1
60217,60217_session2_listb_naming_trial044_handle.wav,2,b,naming,44,handle,1205,correct,NA,Apr 19 2023 08:27:30,Agnieszka,1
60217,60217_session2_listb_naming_trial045_broom.wav,2,b,naming,45,broom,852,correct,NA,Apr 19 2023 08:27:37,Agnieszka,1
60217,60217_session2_listb_naming_trial046_dentist.wav,2,b,naming,46,dentist,1412,correct,NA,Apr 19 2023 08:27:43,Agnieszka,1
60217,60217_session2_listb_naming_trial047_cage.wav,2,b,naming,47,cage,1438,correct,NA,Apr 19 2023 08:27:51,Agnieszka,1
60217,60217_session2_listb_naming_trial048_umbrella.wav,2,b,naming,48,umbrella,788,correct,NA,Apr 19 2023 08:28:00,Agnieszka,1
60217,60217_session2_listb_naming_trial049_vein.wav,2,b,naming,49,vein,1001,correct,NA,Apr 19 2023 08:28:11,Agnieszka,1
