Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
6026b,6026b_session2_listb_naming_trial001_heart.wav,2,b,naming,1,heart,656,correct,NA,May  2 2023 14:04:18,Agnieszka,1
6026b,6026b_session2_listb_naming_trial002_girl.wav,2,b,naming,2,girl,738,correct,NA,May  2 2023 14:04:38,Agnieszka,1
6026b,6026b_session2_listb_naming_trial003_scarecrow.wav,2,b,naming,3,scarecrow,721,correct,NA,May  2 2023 14:04:47,Agnieszka,1
6026b,6026b_session2_listb_naming_trial004_sink.wav,2,b,naming,4,sink,672,correct,NA,May  2 2023 14:04:54,Agnieszka,1
6026b,6026b_session2_listb_naming_trial005_dog.wav,2,b,naming,5,dog,724,correct,NA,May  2 2023 14:05:00,Agnieszka,1
6026b,6026b_session2_listb_naming_trial006_ankle.wav,2,b,naming,6,ankle,999,correct,NA,May  2 2023 14:05:05,Agnieszka,1
6026b,6026b_session2_listb_naming_trial007_leaf.wav,2,b,naming,7,leaf,683,correct,NA,May  2 2023 14:05:11,Agnieszka,1
6026b,6026b_session2_listb_naming_trial008_maze.wav,2,b,naming,8,maze,708,correct,NA,May  2 2023 14:05:18,Agnieszka,1
6026b,6026b_session2_listb_naming_trial009_moustache.wav,2,b,naming,9,moustache,766,correct,NA,May  2 2023 14:05:24,Agnieszka,1
6026b,6026b_session2_listb_naming_trial010_lizard.wav,2,b,naming,10,lizard,766,correct,NA,May  2 2023 14:05:31,Agnieszka,1
6026b,6026b_session2_listb_naming_trial011_nun.wav,2,b,naming,11,nun,1392,correct,NA,May  2 2023 14:05:54,Agnieszka,1
6026b,6026b_session2_listb_naming_trial012_house.wav,2,b,naming,12,house,698,correct,NA,May  2 2023 14:06:00,Agnieszka,1
6026b,6026b_session2_listb_naming_trial013_brain.wav,2,b,naming,13,brain,741,correct,NA,May  2 2023 14:06:07,Agnieszka,1
6026b,6026b_session2_listb_naming_trial014_banana.wav,2,b,naming,14,banana,724,correct,NA,May  2 2023 14:06:12,Agnieszka,1
6026b,6026b_session2_listb_naming_trial015_dinosaur.wav,2,b,naming,15,dinosaur,1124,correct,NA,May  2 2023 14:06:19,Agnieszka,1
6026b,6026b_session2_listb_naming_trial016_devil.wav,2,b,naming,16,devil,1177,correct,NA,May  2 2023 14:06:43,Agnieszka,1
6026b,6026b_session2_listb_naming_trial017_roof.wav,2,b,naming,17,roof,857,correct,NA,May  2 2023 14:06:52,Agnieszka,1
6026b,6026b_session2_listb_naming_trial018_finger.wav,2,b,naming,18,finger,697,correct,NA,May  2 2023 14:06:59,Agnieszka,1
6026b,6026b_session2_listb_naming_trial019_ambulance.wav,2,b,naming,19,ambulance,966,correct,NA,May  2 2023 14:07:05,Agnieszka,1
6026b,6026b_session2_listb_naming_trial020_hand.wav,2,b,naming,20,hand,674,correct,NA,May  2 2023 14:07:11,Agnieszka,1
6026b,6026b_session2_listb_naming_trial021_pumpkin.wav,2,b,naming,21,pumpkin,714,correct,NA,May  2 2023 14:07:31,Agnieszka,1
6026b,6026b_session2_listb_naming_trial022_football.wav,2,b,naming,22,football,724,correct,NA,May  2 2023 14:07:45,Agnieszka,1
6026b,6026b_session2_listb_naming_trial023_bed.wav,2,b,naming,23,bed,874,correct,NA,May  2 2023 14:07:50,Agnieszka,1
6026b,6026b_session2_listb_naming_trial024_jar.wav,2,b,naming,24,jar,691,correct,NA,May  2 2023 14:07:55,Agnieszka,1
6026b,6026b_session2_listb_naming_trial025_needle.wav,2,b,naming,25,needle,1199,correct,NA,May  2 2023 14:08:03,Agnieszka,1
6026b,6026b_session2_listb_naming_trial026_farm.wav,2,b,naming,26,farm,820,correct,NA,May  2 2023 14:08:20,Agnieszka,1
6026b,6026b_session2_listb_naming_trial027_skull.wav,2,b,naming,27,skull,-1,wrong_word,NA,May  2 2023 14:08:26,Agnieszka,1
6026b,6026b_session2_listb_naming_trial028_television.wav,2,b,naming,28,television,949,correct,NA,May  2 2023 14:08:32,Agnieszka,1
6026b,6026b_session2_listb_naming_trial029_pool.wav,2,b,naming,29,pool,791,correct,NA,May  2 2023 14:08:39,Agnieszka,1
6026b,6026b_session2_listb_naming_trial030_tooth.wav,2,b,naming,30,tooth,741,correct,NA,May  2 2023 14:08:44,Agnieszka,1
6026b,6026b_session2_listb_naming_trial031_chain.wav,2,b,naming,31,chain,841,correct,NA,May  2 2023 14:08:53,Agnieszka,1
6026b,6026b_session2_listb_naming_trial032_spoon.wav,2,b,naming,32,spoon,591,correct,NA,May  2 2023 14:09:49,Agnieszka,1
6026b,6026b_session2_listb_naming_trial033_bat.wav,2,b,naming,33,bat,674,correct,NA,May  2 2023 14:09:58,Agnieszka,1
6026b,6026b_session2_listb_naming_trial034_nose.wav,2,b,naming,34,nose,633,correct,NA,May  2 2023 14:10:09,Agnieszka,1
6026b,6026b_session2_listb_naming_trial035_cloud.wav,2,b,naming,35,cloud,1004,correct,NA,May  2 2023 14:10:24,Agnieszka,1
6026b,6026b_session2_listb_naming_trial036_caravan.wav,2,b,naming,36,caravan,1164,correct,NA,May  2 2023 14:10:35,Agnieszka,1
6026b,6026b_session2_listb_naming_trial037_boomerang.wav,2,b,naming,37,boomerang,991,correct,NA,May  2 2023 14:10:41,Agnieszka,1
6026b,6026b_session2_listb_naming_trial038_penguin.wav,2,b,naming,38,penguin,832,correct,NA,May  2 2023 14:10:48,Agnieszka,1
