Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
60dca,60dca_session2_listb_naming_trial001_beard.wav,2,b,naming,1,beard,922,correct,NA,Apr 18 2023 09:26:47,Agnieszka,1
60dca,60dca_session2_listb_naming_trial002_elephant.wav,2,b,naming,2,elephant,1288,correct,NA,Apr 18 2023 09:26:56,Agnieszka,1
60dca,60dca_session2_listb_naming_trial003_dentist.wav,2,b,naming,3,dentist,-1,wrong_word,NA,Apr 18 2023 09:27:02,Agnieszka,1
60dca,60dca_session2_listb_naming_trial004_pilot.wav,2,b,naming,4,pilot,1202,correct,NA,Apr 18 2023 09:27:11,Agnieszka,1
60dca,60dca_session2_listb_naming_trial005_boomerang.wav,2,b,naming,5,boomerang,912,correct,NA,Apr 18 2023 09:27:17,Agnieszka,1
60dca,60dca_session2_listb_naming_trial006_shark.wav,2,b,naming,6,shark,807,correct,NA,Apr 18 2023 09:27:26,Agnieszka,1
60dca,60dca_session2_listb_naming_trial007_feather.wav,2,b,naming,7,feather,880,correct,NA,Apr 18 2023 09:27:34,Agnieszka,1
60dca,60dca_session2_listb_naming_trial008_ring.wav,2,b,naming,8,ring,982,correct,NA,Apr 18 2023 09:28:34,Agnieszka,1
60dca,60dca_session2_listb_naming_trial009_scarf.wav,2,b,naming,9,scarf,957,correct,NA,Apr 18 2023 09:28:42,Agnieszka,1
60dca,60dca_session2_listb_naming_trial010_maze.wav,2,b,naming,10,maze,938,correct,NA,Apr 18 2023 09:28:50,Agnieszka,1
60dca,60dca_session2_listb_naming_trial011_chain.wav,2,b,naming,11,chain,1008,correct,NA,Apr 18 2023 09:29:15,Agnieszka,1
60dca,60dca_session2_listb_naming_trial012_face.wav,2,b,naming,12,face,778,correct,NA,Apr 18 2023 09:29:25,Agnieszka,1
60dca,60dca_session2_listb_naming_trial013_coffin.wav,2,b,naming,13,coffin,966,correct,NA,Apr 18 2023 09:29:32,Agnieszka,1
60dca,60dca_session2_listb_naming_trial014_cloud.wav,2,b,naming,14,cloud,906,correct,NA,Apr 18 2023 09:29:43,Agnieszka,1
60dca,60dca_session2_listb_naming_trial015_vein.wav,2,b,naming,15,vein,1049,correct,NA,Apr 18 2023 09:29:51,Agnieszka,1
60dca,60dca_session2_listb_naming_trial016_broccoli.wav,2,b,naming,16,broccoli,992,correct,NA,Apr 18 2023 09:30:00,Agnieszka,1
