Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
59cb9,59cb9_session2_listb_speeded_trial001_devil.wav,2,b,peeded,1,devil,1110,correct,NA,Apr  4 2023 10:21:10,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial002_dentist.wav,2,b,peeded,2,dentist,-1,wrong_word,NA,Apr  4 2023 10:21:18,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial003_volcano.wav,2,b,peeded,3,volcano,749,correct,NA,Apr  4 2023 10:21:28,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial004_hedgehog.wav,2,b,peeded,4,hedgehog,621,correct,NA,Apr  4 2023 10:21:34,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial005_guitar.wav,2,b,peeded,5,guitar,581,correct,NA,Apr  4 2023 10:21:44,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial006_parrot.wav,2,b,peeded,6,parrot,776,correct,NA,Apr  4 2023 10:21:57,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial007_ambulance.wav,2,b,peeded,7,ambulance,-1,disfluency,NA,Apr  4 2023 10:22:04,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial008_chair.wav,2,b,peeded,8,chair,608,correct,NA,Apr  4 2023 10:22:10,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial009_stapler.wav,2,b,peeded,9,stapler,635,correct,NA,Apr  4 2023 10:22:20,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial010_roof.wav,2,b,peeded,10,roof,770,correct,NA,Apr  4 2023 10:22:28,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial011_burger.wav,2,b,peeded,11,burger,704,correct,NA,Apr  4 2023 10:22:35,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial012_giraffe.wav,2,b,peeded,12,giraffe,628,correct,NA,Apr  4 2023 10:22:46,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial013_face.wav,2,b,peeded,13,face,579,correct,NA,Apr  4 2023 10:23:06,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial014_watch.wav,2,b,peeded,14,watch,609,correct,NA,Apr  4 2023 10:23:13,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial015_scorpion.wav,2,b,peeded,15,scorpion,643,correct,NA,Apr  4 2023 10:24:15,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial016_choir.wav,2,b,peeded,16,choir,726,correct,NA,Apr  4 2023 10:24:23,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial017_coffee.wav,2,b,peeded,17,coffee,758,correct,NA,Apr  4 2023 10:24:34,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial018_back.wav,2,b,peeded,18,back,680,correct,NA,Apr  4 2023 10:24:41,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial019_diamond.wav,2,b,peeded,19,diamond,672,correct,NA,Apr  4 2023 10:24:47,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial020_earring.wav,2,b,peeded,20,earring,-1,wrong_word,NA,Apr  4 2023 10:24:54,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial021_maze.wav,2,b,peeded,21,maze,711,correct,NA,Apr  4 2023 10:25:11,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial022_pizza.wav,2,b,peeded,22,pizza,739,correct,NA,Apr  4 2023 10:25:24,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial023_handle.wav,2,b,peeded,23,handle,695,correct,NA,Apr  4 2023 10:25:32,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial024_button.wav,2,b,peeded,24,button,653,correct,NA,Apr  4 2023 10:25:38,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial025_coffin.wav,2,b,peeded,25,coffin,641,correct,NA,Apr  4 2023 10:25:46,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial026_harp.wav,2,b,peeded,26,harp,-1,disfluency,NA,Apr  4 2023 10:25:53,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial027_cone.wav,2,b,peeded,27,cone,700,correct,NA,Apr  4 2023 10:26:00,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial028_keyboard.wav,2,b,peeded,28,keyboard,682,correct,NA,Apr  4 2023 10:26:08,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial029_snail.wav,2,b,peeded,29,snail,608,correct,NA,Apr  4 2023 10:26:14,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial030_umbrella.wav,2,b,peeded,30,umbrella,616,correct,NA,Apr  4 2023 10:26:24,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial031_bible.wav,2,b,peeded,31,bible,753,correct,NA,Apr  4 2023 10:26:30,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial032_fist.wav,2,b,peeded,32,fist,638,correct,NA,Apr  4 2023 10:26:38,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial033_ring.wav,2,b,peeded,33,ring,638,correct,NA,Apr  4 2023 10:26:46,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial034_pirate.wav,2,b,peeded,34,pirate,803,correct,NA,Apr  4 2023 10:29:57,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial035_cloud.wav,2,b,peeded,35,cloud,667,correct,NA,Apr  4 2023 10:30:04,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial036_bedroom.wav,2,b,peeded,36,bedroom,739,correct,NA,Apr  4 2023 10:30:12,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial037_glasses.wav,2,b,peeded,37,glasses,685,correct,NA,Apr  4 2023 10:30:25,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial038_pumpkin.wav,2,b,peeded,38,pumpkin,628,correct,NA,Apr  4 2023 10:30:32,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial039_door.wav,2,b,peeded,39,door,638,correct,NA,Apr  4 2023 10:30:44,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial040_microphone.wav,2,b,peeded,40,microphone,645,correct,NA,Apr  4 2023 10:30:55,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial041_fruit.wav,2,b,peeded,41,fruit,707,correct,NA,Apr  4 2023 10:31:13,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial042_glass.wav,2,b,peeded,42,glass,564,correct,NA,Apr  4 2023 10:31:19,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial043_bat.wav,2,b,peeded,43,bat,692,correct,NA,Apr  4 2023 10:31:25,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial044_man.wav,2,b,peeded,44,man,-1,wrong_word,NA,Apr  4 2023 10:31:32,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial045_penguin.wav,2,b,peeded,45,penguin,625,correct,NA,Apr  4 2023 10:31:38,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial046_eye.wav,2,b,peeded,46,eye,633,correct,NA,Apr  4 2023 10:31:45,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial047_belt.wav,2,b,peeded,47,belt,643,correct,NA,Apr  4 2023 10:32:00,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial048_hair.wav,2,b,peeded,48,hair,630,correct,NA,Apr  4 2023 10:32:08,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial049_cigarette.wav,2,b,peeded,49,cigarette,645,correct,NA,Apr  4 2023 10:32:20,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial050_parachute.wav,2,b,peeded,50,parachute,-1,no_resp,NA,Apr  4 2023 10:32:26,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial051_swimming.wav,2,b,peeded,51,swimming,-1,wrong_word,NA,Apr  4 2023 10:32:33,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial052_calendar.wav,2,b,peeded,52,calendar,705,correct,NA,Apr  4 2023 10:32:39,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial053_cannon.wav,2,b,peeded,53,cannon,-1,no_resp,NA,Apr  4 2023 10:32:45,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial054_camera.wav,2,b,peeded,54,camera,690,correct,NA,Apr  4 2023 10:32:51,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial055_heart.wav,2,b,peeded,55,heart,630,correct,NA,Apr  4 2023 10:32:58,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial056_skull.wav,2,b,peeded,56,skull,603,correct,NA,Apr  4 2023 10:33:04,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial057_bra.wav,2,b,peeded,57,bra,618,correct,NA,Apr  4 2023 10:33:11,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial058_shark.wav,2,b,peeded,58,shark,-1,wrong_word,NA,Apr  4 2023 10:33:18,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial059_waiter.wav,2,b,peeded,59,waiter,690,correct,NA,Apr  4 2023 10:33:27,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial060_broom.wav,2,b,peeded,60,broom,699,correct,NA,Apr  4 2023 10:33:36,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial061_boomerang.wav,2,b,peeded,61,boomerang,834,correct,NA,Apr  4 2023 10:33:46,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial062_vein.wav,2,b,peeded,62,vein,852,correct,NA,Apr  4 2023 10:33:52,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial063_leaf.wav,2,b,peeded,63,leaf,707,correct,NA,Apr  4 2023 10:34:14,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial064_duck.wav,2,b,peeded,64,duck,684,correct,NA,Apr  4 2023 10:34:20,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial065_banana.wav,2,b,peeded,65,banana,606,correct,NA,Apr  4 2023 10:34:26,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial066_balloon.wav,2,b,peeded,66,balloon,689,correct,NA,Apr  4 2023 10:34:31,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial067_dragon.wav,2,b,peeded,67,dragon,-1,wrong_word,NA,Apr  4 2023 10:34:40,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial068_beard.wav,2,b,peeded,68,beard,748,correct,NA,Apr  4 2023 10:34:46,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial069_pool.wav,2,b,peeded,69,pool,-1,disfluency,NA,Apr  4 2023 10:34:54,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial070_printer.wav,2,b,peeded,70,printer,818,correct,NA,Apr  4 2023 10:35:02,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial071_trumpet.wav,2,b,peeded,71,trumpet,893,correct,NA,Apr  4 2023 10:35:11,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial072_dolphin.wav,2,b,peeded,72,dolphin,-1,uncertain,probably disfluency?,Apr  4 2023 10:35:36,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial073_lion.wav,2,b,peeded,73,lion,673,correct,NA,Apr  4 2023 10:35:44,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial074_calculator.wav,2,b,peeded,74,calculator,-1,disfluency,NA,Apr  4 2023 10:35:50,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial075_telephone.wav,2,b,peeded,75,telephone,-1,wrong_word,NA,Apr  4 2023 10:35:56,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial076_butcher.wav,2,b,peeded,76,butcher,1022,correct,NA,Apr  4 2023 10:36:17,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial077_mirror.wav,2,b,peeded,77,mirror,608,correct,NA,Apr  4 2023 10:36:23,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial078_car.wav,2,b,peeded,78,car,564,correct,NA,Apr  4 2023 10:36:35,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial079_farm.wav,2,b,peeded,79,farm,778,correct,NA,Apr  4 2023 10:36:45,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial080_crown.wav,2,b,peeded,80,crown,736,correct,NA,Apr  4 2023 10:36:50,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial081_tank.wav,2,b,peeded,81,tank,-1,no_resp,NA,Apr  4 2023 10:36:57,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial082_well.wav,2,b,peeded,82,well,704,correct,NA,Apr  4 2023 10:37:02,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial083_television.wav,2,b,peeded,83,television,-1,wrong_word,NA,Apr  4 2023 10:37:08,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial084_strawberry.wav,2,b,peeded,84,strawberry,1080,correct,NA,Apr  4 2023 10:37:15,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial085_baby.wav,2,b,peeded,85,baby,652,correct,NA,Apr  4 2023 10:37:21,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial086_jar.wav,2,b,peeded,86,jar,719,correct,NA,Apr  4 2023 10:37:27,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial087_wallet.wav,2,b,peeded,87,wallet,655,correct,NA,Apr  4 2023 10:37:33,Agnieszka,1
59cb9,59cb9_session2_listb_speeded_trial088_ankle.wav,2,b,peeded,88,ankle,-1,wrong_word,NA,Apr  4 2023 10:37:39,Agnieszka,1
