Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
5bbbc,5bbbc_session2_listb_speeded_trial001_boomerang.wav,2,b,peeded,1,boomerang,898,correct,NA,Mar 16 2023 13:21:19,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial002_hedgehog.wav,2,b,peeded,2,hedgehog,613,correct,NA,Mar 16 2023 13:21:27,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial003_shark.wav,2,b,peeded,3,shark,805,correct,NA,Mar 16 2023 13:21:35,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial004_scarf.wav,2,b,peeded,4,scarf,697,correct,NA,Mar 16 2023 13:21:45,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial005_cactus.wav,2,b,peeded,5,cactus,675,correct,NA,Mar 16 2023 13:21:58,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial006_button.wav,2,b,peeded,6,button,850,correct,NA,Mar 16 2023 13:22:14,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial007_cage.wav,2,b,peeded,7,cage,672,correct,NA,Mar 16 2023 13:22:32,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial008_parrot.wav,2,b,peeded,8,parrot,721,correct,NA,Mar 16 2023 13:22:46,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial009_spider.wav,2,b,peeded,9,spider,625,correct,NA,Mar 16 2023 13:22:57,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial010_finger.wav,2,b,peeded,10,finger,748,correct,NA,Mar 16 2023 13:23:03,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial011_pizza.wav,2,b,peeded,11,pizza,705,correct,NA,Mar 16 2023 13:23:11,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial012_elephant.wav,2,b,peeded,12,elephant,673,correct,NA,Mar 16 2023 13:23:18,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial013_car.wav,2,b,peeded,13,car,653,correct,NA,Mar 16 2023 13:23:33,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial014_earring.wav,2,b,peeded,14,earring,707,correct,NA,Mar 16 2023 13:23:44,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial015_eye.wav,2,b,peeded,15,eye,684,correct,NA,Mar 16 2023 13:23:51,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial016_cone.wav,2,b,peeded,16,cone,707,correct,NA,Mar 16 2023 13:24:01,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial017_pumpkin.wav,2,b,peeded,17,pumpkin,697,correct,NA,Mar 16 2023 13:24:10,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial018_desert.wav,2,b,peeded,18,desert,847,correct,NA,Mar 16 2023 13:24:17,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial019_spoon.wav,2,b,peeded,19,spoon,883,correct,NA,Mar 16 2023 13:24:45,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial020_mirror.wav,2,b,peeded,20,mirror,699,correct,NA,Mar 16 2023 13:24:59,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial021_skeleton.wav,2,b,peeded,21,skeleton,599,correct,NA,Mar 16 2023 13:25:09,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial022_egg.wav,2,b,peeded,22,egg,672,correct,NA,Mar 16 2023 13:25:16,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial023_bed.wav,2,b,peeded,23,bed,758,correct,NA,Mar 16 2023 13:25:25,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial024_dinosaur.wav,2,b,peeded,24,dinosaur,776,correct,NA,Mar 16 2023 13:25:42,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial025_lab.wav,2,b,peeded,25,lab,901,correct,NA,Mar 16 2023 13:25:51,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial026_banana.wav,2,b,peeded,26,banana,653,correct,NA,Mar 16 2023 13:25:57,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial027_face.wav,2,b,peeded,27,face,822,correct,NA,Mar 16 2023 13:26:07,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial028_nose.wav,2,b,peeded,28,nose,658,correct,NA,Mar 16 2023 13:26:36,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial029_snail.wav,2,b,peeded,29,snail,655,correct,NA,Mar 16 2023 13:26:57,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial030_greenhouse.wav,2,b,peeded,30,greenhouse,810,correct,NA,Mar 16 2023 13:27:16,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial031_chair.wav,2,b,peeded,31,chair,702,correct,NA,Mar 16 2023 13:27:26,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial032_ambulance.wav,2,b,peeded,32,ambulance,741,correct,NA,Mar 16 2023 13:27:38,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial033_fruit.wav,2,b,peeded,33,fruit,775,correct,NA,Mar 16 2023 13:27:52,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial034_roof.wav,2,b,peeded,34,roof,1269,correct,NA,Mar 16 2023 13:28:01,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial035_scorpion.wav,2,b,peeded,35,scorpion,817,correct,NA,Mar 16 2023 13:28:15,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial036_calculator.wav,2,b,peeded,36,calculator,803,correct,NA,Mar 16 2023 13:28:29,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial037_foot.wav,2,b,peeded,37,foot,764,correct,NA,Mar 16 2023 13:28:43,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial038_feather.wav,2,b,peeded,38,feather,739,correct,NA,Mar 16 2023 13:28:49,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial039_knee.wav,2,b,peeded,39,knee,857,correct,NA,Mar 16 2023 13:28:56,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial040_nun.wav,2,b,peeded,40,nun,712,correct,NA,Mar 16 2023 13:29:04,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial041_well.wav,2,b,peeded,41,well,773,correct,NA,Mar 16 2023 13:29:13,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial042_umbrella.wav,2,b,peeded,42,umbrella,692,correct,NA,Mar 16 2023 13:29:23,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial043_cigarette.wav,2,b,peeded,43,cigarette,722,correct,NA,Mar 16 2023 13:29:35,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial044_girl.wav,2,b,peeded,44,girl,758,correct,NA,Mar 16 2023 13:29:49,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial045_apron.wav,2,b,peeded,45,apron,697,correct,NA,Mar 16 2023 13:30:04,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial046_broom.wav,2,b,peeded,46,broom,678,correct,NA,Mar 16 2023 13:30:33,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial047_pool.wav,2,b,peeded,47,pool,845,correct,NA,Mar 16 2023 13:30:47,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial048_volcano.wav,2,b,peeded,48,volcano,746,correct,NA,Mar 16 2023 13:30:56,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial049_sock.wav,2,b,peeded,49,sock,677,correct,NA,Mar 16 2023 13:31:05,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial050_shirt.wav,2,b,peeded,50,shirt,904,correct,NA,Mar 16 2023 13:31:16,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial051_parachute.wav,2,b,peeded,51,parachute,1066,correct,NA,Mar 16 2023 13:31:30,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial052_house.wav,2,b,peeded,52,house,759,correct,NA,Mar 16 2023 13:31:36,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial053_farm.wav,2,b,peeded,53,farm,842,correct,NA,Mar 16 2023 13:31:44,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial054_iron.wav,2,b,peeded,54,iron,732,correct,NA,Mar 16 2023 13:31:56,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial055_caravan.wav,2,b,peeded,55,caravan,678,correct,NA,Mar 16 2023 13:32:03,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial056_television.wav,2,b,peeded,56,television,980,correct,NA,Mar 16 2023 13:32:11,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial057_dog.wav,2,b,peeded,57,dog,709,correct,NA,Mar 16 2023 13:32:18,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial058_harp.wav,2,b,peeded,58,harp,652,correct,NA,Mar 16 2023 13:32:29,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial059_keyboard.wav,2,b,peeded,59,keyboard,793,correct,NA,Mar 16 2023 13:32:42,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial060_glass.wav,2,b,peeded,60,glass,704,correct,NA,Mar 16 2023 13:32:49,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial061_waiter.wav,2,b,peeded,61,waiter,889,correct,NA,Mar 16 2023 13:32:59,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial062_lemon.wav,2,b,peeded,62,lemon,685,correct,NA,Mar 16 2023 13:33:04,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial063_man.wav,2,b,peeded,63,man,680,correct,NA,Mar 16 2023 13:33:12,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial064_lion.wav,2,b,peeded,64,lion,739,correct,NA,Mar 16 2023 13:33:18,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial065_coconut.wav,2,b,peeded,65,coconut,867,correct,NA,Mar 16 2023 13:33:32,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial066_scarecrow.wav,2,b,peeded,66,scarecrow,670,correct,NA,Mar 16 2023 13:33:39,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial067_microphone.wav,2,b,peeded,67,microphone,727,correct,NA,Mar 16 2023 13:33:46,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial068_stapler.wav,2,b,peeded,68,stapler,655,correct,NA,Mar 16 2023 13:33:56,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial069_duck.wav,2,b,peeded,69,duck,694,correct,NA,Mar 16 2023 13:34:04,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial070_back.wav,2,b,peeded,70,back,768,correct,NA,Mar 16 2023 13:34:10,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial071_watch.wav,2,b,peeded,71,watch,724,correct,NA,Mar 16 2023 13:34:17,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial072_gun.wav,2,b,peeded,72,gun,732,correct,NA,Mar 16 2023 13:34:23,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial073_ring.wav,2,b,peeded,73,ring,687,correct,NA,Mar 16 2023 13:34:30,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial074_bible.wav,2,b,peeded,74,bible,743,correct,NA,Mar 16 2023 13:34:37,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial075_dragon.wav,2,b,peeded,75,dragon,1017,correct,NA,Mar 16 2023 13:34:44,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial076_road.wav,2,b,peeded,76,road,719,correct,NA,Mar 16 2023 13:34:54,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial077_maze.wav,2,b,peeded,77,maze,764,correct,NA,Mar 16 2023 13:35:01,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial078_ankle.wav,2,b,peeded,78,ankle,926,correct,NA,Mar 16 2023 13:35:10,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial079_condom.wav,2,b,peeded,79,condom,891,correct,NA,Mar 16 2023 13:35:20,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial080_brain.wav,2,b,peeded,80,brain,712,correct,NA,Mar 16 2023 13:35:26,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial081_nurse.wav,2,b,peeded,81,nurse,685,correct,NA,Mar 16 2023 13:35:33,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial082_cowboy.wav,2,b,peeded,82,cowboy,724,correct,NA,Mar 16 2023 13:35:43,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial083_guitar.wav,2,b,peeded,83,guitar,687,correct,NA,Mar 16 2023 13:35:51,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial084_thermometer.wav,2,b,peeded,84,thermometer,739,correct,NA,Mar 16 2023 13:36:08,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial085_king.wav,2,b,peeded,85,king,727,correct,NA,Mar 16 2023 13:36:13,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial086_tooth.wav,2,b,peeded,86,tooth,805,correct,NA,Mar 16 2023 13:36:22,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial087_giraffe.wav,2,b,peeded,87,giraffe,695,correct,NA,Mar 16 2023 13:36:28,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial088_burger.wav,2,b,peeded,88,burger,702,correct,NA,Mar 16 2023 13:36:33,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial089_crown.wav,2,b,peeded,89,crown,711,correct,NA,Mar 16 2023 13:36:39,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial090_fire.wav,2,b,peeded,90,fire,694,correct,NA,Mar 16 2023 13:36:45,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial091_lizard.wav,2,b,peeded,91,lizard,687,correct,NA,Mar 16 2023 13:36:52,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial092_strawberry.wav,2,b,peeded,92,strawberry,613,correct,NA,Mar 16 2023 13:36:58,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial093_tank.wav,2,b,peeded,93,tank,-1,wrong_word,NA,Mar 16 2023 13:37:06,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial094_asparagus.wav,2,b,peeded,94,asparagus,891,correct,slightly cut off in the end,Mar 16 2023 13:37:20,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial095_glasses.wav,2,b,peeded,95,glasses,1321,correct,cut off,Mar 16 2023 13:37:34,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial096_handle.wav,2,b,peeded,96,handle,904,correct,NA,Mar 16 2023 13:37:47,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial097_mask.wav,2,b,peeded,97,mask,805,correct,NA,Mar 16 2023 13:37:55,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial098_fist.wav,2,b,peeded,98,fist,709,correct,NA,Mar 16 2023 13:38:00,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial099_frog.wav,2,b,peeded,99,frog,-1,wrong_word,NA,Mar 16 2023 13:38:10,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial100_screwdriver.wav,2,b,peeded,100,screwdriver,-1,disfluency,NA,Mar 16 2023 13:38:19,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial101_heart.wav,2,b,peeded,101,heart,660,correct,NA,Mar 16 2023 13:38:27,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial102_hand.wav,2,b,peeded,102,hand,609,correct,NA,Mar 16 2023 13:38:32,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial103_balloon.wav,2,b,peeded,103,balloon,685,correct,NA,Mar 16 2023 13:38:41,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial104_vein.wav,2,b,peeded,104,vein,894,correct,NA,Mar 16 2023 13:38:47,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial105_jar.wav,2,b,peeded,105,jar,771,correct,NA,Mar 16 2023 13:38:59,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial106_skateboard.wav,2,b,peeded,106,skateboard,690,correct,NA,Mar 16 2023 13:39:08,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial107_choir.wav,2,b,peeded,107,choir,950,correct,NA,Mar 16 2023 13:39:25,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial108_beard.wav,2,b,peeded,108,beard,776,correct,NA,Mar 16 2023 13:39:31,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial109_coffin.wav,2,b,peeded,109,coffin,780,correct,NA,Mar 16 2023 13:39:38,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial110_moustache.wav,2,b,peeded,110,moustache,876,correct,NA,Mar 16 2023 13:39:44,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial111_devil.wav,2,b,peeded,111,devil,797,correct,NA,Mar 16 2023 13:39:52,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial112_camera.wav,2,b,peeded,112,camera,749,correct,NA,Mar 16 2023 13:40:00,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial113_dentist.wav,2,b,peeded,113,dentist,-1,no_resp,NA,Mar 16 2023 13:40:46,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial114_skull.wav,2,b,peeded,114,skull,699,correct,NA,Mar 16 2023 13:40:54,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial115_broccoli.wav,2,b,peeded,115,broccoli,916,correct,NA,Mar 16 2023 13:41:07,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial116_telephone.wav,2,b,peeded,116,telephone,797,correct,NA,Mar 16 2023 13:41:14,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial117_baby.wav,2,b,peeded,117,baby,812,correct,NA,Mar 16 2023 13:41:24,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial118_leaf.wav,2,b,peeded,118,leaf,621,correct,NA,Mar 16 2023 13:41:39,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial119_cloud.wav,2,b,peeded,119,cloud,714,correct,NA,Mar 16 2023 13:41:47,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial120_penguin.wav,2,b,peeded,120,penguin,684,correct,NA,Mar 16 2023 13:41:55,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial121_coffee.wav,2,b,peeded,121,coffee,918,correct,NA,Mar 16 2023 13:42:01,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial122_pilot.wav,2,b,peeded,122,pilot,989,correct,NA,Mar 16 2023 13:42:08,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial123_chain.wav,2,b,peeded,123,chain,781,correct,NA,Mar 16 2023 13:42:15,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial124_football.wav,2,b,peeded,124,football,687,correct,NA,Mar 16 2023 13:42:37,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial125_cannon.wav,2,b,peeded,125,cannon,881,correct,NA,Mar 16 2023 13:42:45,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial126_torch.wav,2,b,peeded,126,torch,754,correct,NA,Mar 16 2023 13:42:54,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial127_needle.wav,2,b,peeded,127,needle,702,correct,NA,Mar 16 2023 13:43:01,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial128_fan.wav,2,b,peeded,128,fan,751,correct,NA,Mar 16 2023 13:43:09,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial129_bin.wav,2,b,peeded,129,bin,763,correct,NA,Mar 16 2023 13:43:17,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial130_wallet.wav,2,b,peeded,130,wallet,690,correct,NA,Mar 16 2023 13:43:28,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial131_dolphin.wav,2,b,peeded,131,dolphin,842,correct,NA,Mar 16 2023 13:43:48,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial132_bedroom.wav,2,b,peeded,132,bedroom,962,correct,NA,Mar 16 2023 13:43:54,Agnieszka,1
5bbbc,5bbbc_session2_listb_speeded_trial133_calendar.wav,2,b,peeded,133,calendar,741,correct,NA,Mar 16 2023 13:44:01,Agnieszka,1
