Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
5e779,5e779_session2_listb_speeded_trial001_calculator.wav,2,b,peeded,1,calculator,921,correct,NA,Mar 14 2023 09:07:37,Agnieszka,1
5e779,5e779_session2_listb_speeded_trial002_ring.wav,2,b,peeded,2,ring,1119,correct,NA,Mar 14 2023 09:07:44,Agnieszka,1
5e779,5e779_session2_listb_speeded_trial003_mask.wav,2,b,peeded,3,mask,834,correct,NA,Mar 14 2023 09:07:50,Agnieszka,1
5e779,5e779_session2_listb_speeded_trial004_gun.wav,2,b,peeded,4,gun,653,correct,NA,Mar 14 2023 09:07:59,Agnieszka,1
5e779,5e779_session2_listb_speeded_trial005_lion.wav,2,b,peeded,5,lion,692,correct,NA,Mar 14 2023 09:08:08,Agnieszka,1
5e779,5e779_session2_listb_speeded_trial006_knee.wav,2,b,peeded,6,knee,-1,disfluency,NA,Mar 14 2023 09:08:15,Agnieszka,1
5e779,5e779_session2_listb_speeded_trial007_parrot.wav,2,b,peeded,7,parrot,657,correct,NA,Mar 14 2023 09:08:27,Agnieszka,1
5e779,5e779_session2_listb_speeded_trial008_duck.wav,2,b,peeded,8,duck,697,correct,NA,Mar 14 2023 09:08:35,Agnieszka,1
5e779,5e779_session2_listb_speeded_trial009_airport.wav,2,b,peeded,9,airport,1171,uncertain,cut off in the end,Mar 14 2023 09:08:50,Agnieszka,1
5e779,5e779_session2_listb_speeded_trial010_waiter.wav,2,b,peeded,10,waiter,877,correct,NA,Mar 14 2023 09:08:56,Agnieszka,1
5e779,5e779_session2_listb_speeded_trial011_dolphin.wav,2,b,peeded,11,dolphin,655,correct,NA,Mar 14 2023 09:09:03,Agnieszka,1
5e779,5e779_session2_listb_speeded_trial012_torch.wav,2,b,peeded,12,torch,650,correct,NA,Mar 14 2023 09:09:10,Agnieszka,1
5e779,5e779_session2_listb_speeded_trial013_coffin.wav,2,b,peeded,13,coffin,668,correct,NA,Mar 14 2023 09:09:20,Agnieszka,1
5e779,5e779_session2_listb_speeded_trial014_coffee.wav,2,b,peeded,14,coffee,849,correct,NA,Mar 14 2023 09:09:29,Agnieszka,1
5e779,5e779_session2_listb_speeded_trial015_feather.wav,2,b,peeded,15,feather,702,correct,NA,Mar 14 2023 09:09:47,Agnieszka,1
5e779,5e779_session2_listb_speeded_trial016_hand.wav,2,b,peeded,16,hand,660,correct,NA,Mar 14 2023 09:09:53,Agnieszka,1
5e779,5e779_session2_listb_speeded_trial017_maze.wav,2,b,peeded,17,maze,1048,correct,NA,Mar 14 2023 09:10:00,Agnieszka,1
5e779,5e779_session2_listb_speeded_trial018_moustache.wav,2,b,peeded,18,moustache,652,correct,sounds like "moushtache",Mar 14 2023 09:10:21,Agnieszka,1
