Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
6048d,6048d_session2_listb_speeded_trial001_finger.wav,2,b,peeded,1,finger,670,correct,NA,Mar 14 2023 14:32:03,Agnieszka,1
6048d,6048d_session2_listb_speeded_trial002_skateboard.wav,2,b,peeded,2,skateboard,577,correct,NA,Mar 14 2023 14:32:10,Agnieszka,1
6048d,6048d_session2_listb_speeded_trial003_car.wav,2,b,peeded,3,car,613,correct,NA,Mar 14 2023 14:32:22,Agnieszka,1
6048d,6048d_session2_listb_speeded_trial004_glasses.wav,2,b,peeded,4,glasses,663,correct,NA,Mar 14 2023 14:32:29,Agnieszka,1
6048d,6048d_session2_listb_speeded_trial005_balloon.wav,2,b,peeded,5,balloon,626,correct,NA,Mar 14 2023 14:32:34,Agnieszka,1
6048d,6048d_session2_listb_speeded_trial006_football.wav,2,b,peeded,6,football,643,correct,NA,Mar 14 2023 14:32:55,Agnieszka,1
6048d,6048d_session2_listb_speeded_trial007_butcher.wav,2,b,peeded,7,butcher,850,correct,NA,Mar 14 2023 14:33:06,Agnieszka,1
6048d,6048d_session2_listb_speeded_trial008_snail.wav,2,b,peeded,8,snail,724,correct,NA,Mar 14 2023 14:33:12,Agnieszka,1
6048d,6048d_session2_listb_speeded_trial009_pumpkin.wav,2,b,peeded,9,pumpkin,668,correct,NA,Mar 14 2023 14:33:25,Agnieszka,1
6048d,6048d_session2_listb_speeded_trial010_nun.wav,2,b,peeded,10,nun,709,correct,NA,Mar 14 2023 14:33:31,Agnieszka,1
6048d,6048d_session2_listb_speeded_trial011_television.wav,2,b,peeded,11,television,869,correct,NA,Mar 14 2023 14:33:37,Agnieszka,1
6048d,6048d_session2_listb_speeded_trial012_trumpet.wav,2,b,peeded,12,trumpet,793,correct,NA,Mar 14 2023 14:33:44,Agnieszka,1
6048d,6048d_session2_listb_speeded_trial013_lion.wav,2,b,peeded,13,lion,614,correct,NA,Mar 14 2023 14:33:52,Agnieszka,1
6048d,6048d_session2_listb_speeded_trial014_skull.wav,2,b,peeded,14,skull,-1,wrong_word,NA,Mar 14 2023 14:34:01,Agnieszka,1
6048d,6048d_session2_listb_speeded_trial015_camera.wav,2,b,peeded,15,camera,719,correct,NA,Mar 14 2023 14:34:09,Agnieszka,1
6048d,6048d_session2_listb_speeded_trial016_duck.wav,2,b,peeded,16,duck,625,correct,NA,Mar 14 2023 14:34:14,Agnieszka,1
