Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
60cfd,60cfd_session2_listb_speeded_trial001_bible.wav,2,b,peeded,1,bible,798,correct,NA,Apr  4 2023 11:30:37,Agnieszka,1
60cfd,60cfd_session2_listb_speeded_trial002_ring.wav,2,b,peeded,2,ring,756,correct,NA,Apr  4 2023 11:30:47,Agnieszka,1
60cfd,60cfd_session2_listb_speeded_trial003_trumpet.wav,2,b,peeded,3,trumpet,702,correct,NA,Apr  4 2023 11:30:56,Agnieszka,1
60cfd,60cfd_session2_listb_speeded_trial004_waiter.wav,2,b,peeded,4,waiter,901,correct,NA,Apr  4 2023 11:31:02,Agnieszka,1
60cfd,60cfd_session2_listb_speeded_trial005_house.wav,2,b,peeded,5,house,695,correct,NA,Apr  4 2023 11:31:11,Agnieszka,1
60cfd,60cfd_session2_listb_speeded_trial006_camera.wav,2,b,peeded,6,camera,888,correct,NA,Apr  4 2023 11:31:18,Agnieszka,1
60cfd,60cfd_session2_listb_speeded_trial007_desert.wav,2,b,peeded,7,desert,822,correct,NA,Apr  4 2023 11:31:24,Agnieszka,1
60cfd,60cfd_session2_listb_speeded_trial008_fan.wav,2,b,peeded,8,fan,756,correct,NA,Apr  4 2023 11:31:33,Agnieszka,1
60cfd,60cfd_session2_listb_speeded_trial009_coconut.wav,2,b,peeded,9,coconut,759,correct,NA,Apr  4 2023 11:31:53,Agnieszka,1
60cfd,60cfd_session2_listb_speeded_trial010_volcano.wav,2,b,peeded,10,volcano,829,correct,NA,Apr  4 2023 11:31:59,Agnieszka,1
60cfd,60cfd_session2_listb_speeded_trial011_coffee.wav,2,b,peeded,11,coffee,1056,correct,NA,Apr  4 2023 11:32:06,Agnieszka,1
60cfd,60cfd_session2_listb_speeded_trial012_dentist.wav,2,b,peeded,12,dentist,-1,no_resp,NA,Apr  4 2023 11:32:11,Agnieszka,1
60cfd,60cfd_session2_listb_speeded_trial013_earring.wav,2,b,peeded,13,earring,923,correct,NA,Apr  4 2023 11:32:17,Agnieszka,1
60cfd,60cfd_session2_listb_speeded_trial014_stapler.wav,2,b,peeded,14,stapler,729,correct,NA,Apr  4 2023 11:32:25,Agnieszka,1
60cfd,60cfd_session2_listb_speeded_trial015_vein.wav,2,b,peeded,15,vein,1044,correct,NA,Apr  4 2023 11:32:39,Agnieszka,1
60cfd,60cfd_session2_listb_speeded_trial016_scarecrow.wav,2,b,peeded,16,scarecrow,748,correct,NA,Apr  4 2023 11:32:46,Agnieszka,1
60cfd,60cfd_session2_listb_speeded_trial017_greenhouse.wav,2,b,peeded,17,greenhouse,1031,correct,slightly cut off,Apr  4 2023 11:32:58,Agnieszka,1
60cfd,60cfd_session2_listb_speeded_trial018_torch.wav,2,b,peeded,18,torch,945,correct,NA,Apr  4 2023 11:33:04,Agnieszka,1
60cfd,60cfd_session2_listb_speeded_trial019_bedroom.wav,2,b,peeded,19,bedroom,898,correct,NA,Apr  4 2023 11:33:10,Agnieszka,1
60cfd,60cfd_session2_listb_speeded_trial020_airport.wav,2,b,peeded,20,airport,832,correct,NA,Apr  4 2023 11:33:16,Agnieszka,1
60cfd,60cfd_session2_listb_speeded_trial021_face.wav,2,b,peeded,21,face,731,correct,NA,Apr  4 2023 11:33:22,Agnieszka,1
60cfd,60cfd_session2_listb_speeded_trial022_boomerang.wav,2,b,peeded,22,boomerang,849,correct,NA,Apr  4 2023 11:33:28,Agnieszka,1
60cfd,60cfd_session2_listb_speeded_trial023_needle.wav,2,b,peeded,23,needle,989,correct,NA,Apr  4 2023 11:33:36,Agnieszka,1
60cfd,60cfd_session2_listb_speeded_trial024_beard.wav,2,b,peeded,24,beard,896,correct,NA,Apr  4 2023 11:33:44,Agnieszka,1
60cfd,60cfd_session2_listb_speeded_trial025_fist.wav,2,b,peeded,25,fist,815,correct,NA,Apr  4 2023 11:33:50,Agnieszka,1
60cfd,60cfd_session2_listb_speeded_trial026_bat.wav,2,b,peeded,26,bat,859,correct,NA,Apr  4 2023 11:33:58,Agnieszka,1
60cfd,60cfd_session2_listb_speeded_trial027_shark.wav,2,b,peeded,27,shark,729,correct,NA,Apr  4 2023 11:34:04,Agnieszka,1
60cfd,60cfd_session2_listb_speeded_trial028_cactus.wav,2,b,peeded,28,cactus,788,correct,NA,Apr  4 2023 11:34:12,Agnieszka,1
60cfd,60cfd_session2_listb_speeded_trial029_girl.wav,2,b,peeded,29,girl,877,correct,NA,Apr  4 2023 11:34:21,Agnieszka,1
60cfd,60cfd_session2_listb_speeded_trial030_telephone.wav,2,b,peeded,30,telephone,837,correct,NA,Apr  4 2023 11:34:30,Agnieszka,1
60cfd,60cfd_session2_listb_speeded_trial031_well.wav,2,b,peeded,31,well,798,correct,NA,Apr  4 2023 11:34:36,Agnieszka,1
60cfd,60cfd_session2_listb_speeded_trial032_cloud.wav,2,b,peeded,32,cloud,861,correct,NA,Apr  4 2023 11:34:49,Agnieszka,1
60cfd,60cfd_session2_listb_speeded_trial033_broom.wav,2,b,peeded,33,broom,904,correct,NA,Apr  4 2023 11:34:56,Agnieszka,1
60cfd,60cfd_session2_listb_speeded_trial034_parachute.wav,2,b,peeded,34,parachute,-1,no_resp,NA,Apr  4 2023 11:35:01,Agnieszka,1
60cfd,60cfd_session2_listb_speeded_trial035_scorpion.wav,2,b,peeded,35,scorpion,716,correct,NA,Apr  4 2023 11:35:07,Agnieszka,1
60cfd,60cfd_session2_listb_speeded_trial036_chain.wav,2,b,peeded,36,chain,883,correct,NA,Apr  4 2023 11:35:13,Agnieszka,1
60cfd,60cfd_session2_listb_speeded_trial037_cone.wav,2,b,peeded,37,cone,974,correct,NA,Apr  4 2023 11:35:20,Agnieszka,1
60cfd,60cfd_session2_listb_speeded_trial038_condom.wav,2,b,peeded,38,condom,871,correct,NA,Apr  4 2023 11:35:26,Agnieszka,1
60cfd,60cfd_session2_listb_speeded_trial039_crown.wav,2,b,peeded,39,crown,888,correct,NA,Apr  4 2023 11:35:38,Agnieszka,1
60cfd,60cfd_session2_listb_speeded_trial040_penguin.wav,2,b,peeded,40,penguin,768,correct,NA,Apr  4 2023 11:35:46,Agnieszka,1
60cfd,60cfd_session2_listb_speeded_trial041_pirate.wav,2,b,peeded,41,pirate,857,correct,NA,Apr  4 2023 11:35:54,Agnieszka,1
60cfd,60cfd_session2_listb_speeded_trial042_hand.wav,2,b,peeded,42,hand,690,correct,NA,Apr  4 2023 11:36:01,Agnieszka,1
60cfd,60cfd_session2_listb_speeded_trial043_pizza.wav,2,b,peeded,43,pizza,776,correct,NA,Apr  4 2023 11:36:06,Agnieszka,1
60cfd,60cfd_session2_listb_speeded_trial044_honey.wav,2,b,peeded,44,honey,830,correct,NA,Apr  4 2023 11:36:19,Agnieszka,1
60cfd,60cfd_session2_listb_speeded_trial045_eye.wav,2,b,peeded,45,eye,727,correct,NA,Apr  4 2023 11:36:30,Agnieszka,1
