Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
630cb,630cb_session2_listb_speeded_trial001_coffee.wav,2,b,peeded,1,coffee,850,correct,NA,Mar 13 2023 12:20:12,Laura,1
630cb,630cb_session2_listb_speeded_trial002_house.wav,2,b,peeded,2,house,673,correct,NA,Mar 13 2023 12:22:48,Laura,1
630cb,630cb_session2_listb_speeded_trial003_greenhouse.wav,2,b,peeded,3,greenhouse,749,correct,NA,Mar 13 2023 12:23:25,Laura,1
630cb,630cb_session2_listb_speeded_trial004_bat.wav,2,b,peeded,4,bat,781,correct,NA,Mar 13 2023 12:23:47,Laura,1
630cb,630cb_session2_listb_speeded_trial005_condom.wav,2,b,peeded,5,condom,957,correct,NA,Mar 13 2023 12:24:28,Laura,1
630cb,630cb_session2_listb_speeded_trial006_wallet.wav,2,b,peeded,6,wallet,791,correct,NA,Mar 13 2023 12:28:31,Laura,1
630cb,630cb_session2_listb_speeded_trial007_scarf.wav,2,b,peeded,7,scarf,710,correct,NA,Mar 13 2023 12:30:19,Laura,1
630cb,630cb_session2_listb_speeded_trial008_fist.wav,2,b,peeded,8,fist,-1,disfluency,first onset wrong word,Mar 13 2023 12:33:20,Laura,1
630cb,630cb_session2_listb_speeded_trial009_baby.wav,2,b,peeded,9,baby,764,correct,NA,Mar 13 2023 12:33:34,Laura,1
630cb,630cb_session2_listb_speeded_trial010_cloud.wav,2,b,peeded,10,cloud,1369,uncertain,cut off,Mar 13 2023 12:34:01,Laura,1
630cb,630cb_session2_listb_speeded_trial011_foot.wav,2,b,peeded,11,foot,811,correct,NA,Mar 13 2023 12:34:20,Laura,1
630cb,630cb_session2_listb_speeded_trial012_bin.wav,2,b,peeded,12,bin,810,correct,NA,Mar 13 2023 13:59:38,Laura,1
630cb,630cb_session2_listb_speeded_trial013_devil.wav,2,b,peeded,13,devil,922,correct,NA,Mar 13 2023 13:59:59,Laura,1
630cb,630cb_session2_listb_speeded_trial014_giraffe.wav,2,b,peeded,14,giraffe,795,correct,NA,Mar 13 2023 14:01:18,Laura,1
