Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
63dac,63dac_session2_listb_speeded_trial001_cowboy.wav,2,b,peeded,1,cowboy,749,correct,NA,Apr  4 2023 12:29:47,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial002_fist.wav,2,b,peeded,2,fist,721,correct,NA,Apr  4 2023 12:29:53,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial003_parrot.wav,2,b,peeded,3,parrot,737,correct,NA,Apr  4 2023 12:29:59,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial004_airport.wav,2,b,peeded,4,airport,822,correct,NA,Apr  4 2023 12:30:05,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial005_stapler.wav,2,b,peeded,5,stapler,744,correct,NA,Apr  4 2023 12:30:12,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial006_face.wav,2,b,peeded,6,face,692,correct,NA,Apr  4 2023 12:30:19,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial007_lion.wav,2,b,peeded,7,lion,665,correct,NA,Apr  4 2023 12:30:27,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial008_elephant.wav,2,b,peeded,8,elephant,783,correct,NA,Apr  4 2023 12:30:37,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial009_baby.wav,2,b,peeded,9,baby,751,correct,NA,Apr  4 2023 12:30:43,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial010_thermometer.wav,2,b,peeded,10,thermometer,943,correct,NA,Apr  4 2023 12:30:50,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial011_hair.wav,2,b,peeded,11,hair,736,correct,NA,Apr  4 2023 12:30:57,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial012_duck.wav,2,b,peeded,12,duck,785,correct,NA,Apr  4 2023 12:31:05,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial013_desert.wav,2,b,peeded,13,desert,830,correct,NA,Apr  4 2023 12:31:12,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial014_shadow.wav,2,b,peeded,14,shadow,793,correct,NA,Apr  4 2023 12:31:18,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial015_skateboard.wav,2,b,peeded,15,skateboard,699,correct,NA,Apr  4 2023 12:31:26,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial016_cannon.wav,2,b,peeded,16,cannon,684,correct,NA,Apr  4 2023 12:31:33,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial017_dragon.wav,2,b,peeded,17,dragon,967,correct,NA,Apr  4 2023 12:31:38,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial018_penguin.wav,2,b,peeded,18,penguin,797,correct,NA,Apr  4 2023 12:31:46,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial019_printer.wav,2,b,peeded,19,printer,1299,correct,slightly cut off,Apr  4 2023 12:31:56,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial020_boomerang.wav,2,b,peeded,20,boomerang,965,correct,NA,Apr  4 2023 12:32:02,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial021_broccoli.wav,2,b,peeded,21,broccoli,822,correct,NA,Apr  4 2023 12:32:23,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial022_iron.wav,2,b,peeded,22,iron,825,correct,NA,Apr  4 2023 12:32:31,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial023_hand.wav,2,b,peeded,23,hand,677,correct,NA,Apr  4 2023 12:32:39,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial024_spider.wav,2,b,peeded,24,spider,611,correct,NA,Apr  4 2023 12:32:45,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial025_fruit.wav,2,b,peeded,25,fruit,856,uncertain,not sure if its "fruit" or "fruits",Apr  4 2023 12:33:06,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial026_bible.wav,2,b,peeded,26,bible,864,correct,NA,Apr  4 2023 12:33:13,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial027_lizard.wav,2,b,peeded,27,lizard,754,correct,NA,Apr  4 2023 12:33:22,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial028_tooth.wav,2,b,peeded,28,tooth,739,correct,NA,Apr  4 2023 12:33:29,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial029_honey.wav,2,b,peeded,29,honey,677,correct,NA,Apr  4 2023 12:33:34,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial030_man.wav,2,b,peeded,30,man,850,correct,NA,Apr  4 2023 12:33:39,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial031_chain.wav,2,b,peeded,31,chain,726,correct,NA,Apr  4 2023 12:33:45,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial032_feather.wav,2,b,peeded,32,feather,641,correct,NA,Apr  4 2023 12:33:56,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial033_harp.wav,2,b,peeded,33,harp,898,correct,NA,Apr  4 2023 12:34:04,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial034_cone.wav,2,b,peeded,34,cone,862,correct,NA,Apr  4 2023 12:34:13,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial035_fire.wav,2,b,peeded,35,fire,702,correct,NA,Apr  4 2023 12:34:18,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial036_scarecrow.wav,2,b,peeded,36,scarecrow,700,correct,NA,Apr  4 2023 12:34:26,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial037_keyboard.wav,2,b,peeded,37,keyboard,756,correct,NA,Apr  4 2023 12:34:32,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial038_scarf.wav,2,b,peeded,38,scarf,685,correct,NA,Apr  4 2023 12:34:38,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial039_moustache.wav,2,b,peeded,39,moustache,727,correct,NA,Apr  4 2023 12:34:45,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial040_broom.wav,2,b,peeded,40,broom,-1,disfluency,NA,Apr  4 2023 12:34:57,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial041_witch.wav,2,b,peeded,41,witch,754,correct,NA,Apr  4 2023 12:35:03,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial042_leaf.wav,2,b,peeded,42,leaf,672,correct,NA,Apr  4 2023 12:35:08,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial043_vein.wav,2,b,peeded,43,vein,877,correct,NA,Apr  4 2023 12:35:14,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial044_skeleton.wav,2,b,peeded,44,skeleton,678,correct,NA,Apr  4 2023 12:35:22,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial045_dentist.wav,2,b,peeded,45,dentist,1382,correct,cut off in the end,Apr  4 2023 12:35:36,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial046_brain.wav,2,b,peeded,46,brain,800,correct,NA,Apr  4 2023 12:35:45,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial047_butcher.wav,2,b,peeded,47,butcher,724,correct,NA,Apr  4 2023 12:35:51,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial048_farm.wav,2,b,peeded,48,farm,756,correct,NA,Apr  4 2023 12:35:57,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial049_finger.wav,2,b,peeded,49,finger,717,correct,NA,Apr  4 2023 12:36:04,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial050_fan.wav,2,b,peeded,50,fan,635,correct,NA,Apr  4 2023 12:36:10,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial051_belt.wav,2,b,peeded,51,belt,631,correct,NA,Apr  4 2023 12:36:16,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial052_wallet.wav,2,b,peeded,52,wallet,781,correct,NA,Apr  4 2023 12:36:22,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial053_burger.wav,2,b,peeded,53,burger,687,correct,NA,Apr  4 2023 12:36:30,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial054_glass.wav,2,b,peeded,54,glass,727,correct,NA,Apr  4 2023 12:36:38,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial055_trumpet.wav,2,b,peeded,55,trumpet,931,correct,NA,Apr  4 2023 12:36:53,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial056_caravan.wav,2,b,peeded,56,caravan,820,correct,NA,Apr  4 2023 12:37:02,Agnieszka,1
63dac,63dac_session2_listb_speeded_trial057_king.wav,2,b,peeded,57,king,776,correct,NA,Apr  4 2023 12:37:08,Agnieszka,1
